window_start,window_end,window_index,Open_day1,Open_day2,Open_day3,Open_day4,Open_day5,Open_day6,Open_day7,High_day1,High_day2,High_day3,High_day4,High_day5,High_day6,High_day7,Low_day1,Low_day2,Low_day3,Low_day4,Low_day5,Low_day6,Low_day7,Close_day1,Close_day2,Close_day3,Close_day4,Close_day5,Close_day6,Close_day7,Volume_day1,Volume_day2,Volume_day3,Volume_day4,Volume_day5,Volume_day6,Volume_day7,Number_of_Trades_day1,Number_of_Trades_day2,Number_of_Trades_day3,Number_of_Trades_day4,Number_of_Trades_day5,Number_of_Trades_day6,Number_of_Trades_day7,Return_%_day1,Return_%_day2,Return_%_day3,Return_%_day4,Return_%_day5,Return_%_day6,Return_%_day7,Volatility_day1,Volatility_day2,Volatility_day3,Volatility_day4,Volatility_day5,Volatility_day6,Volatility_day7,Taker_Buy_Base_Volume_day1,Taker_Buy_Base_Volume_day2,Taker_Buy_Base_Volume_day3,Taker_Buy_Base_Volume_day4,Taker_Buy_Base_Volume_day5,Taker_Buy_Base_Volume_day6,Taker_Buy_Base_Volume_day7,SP500_day1,SP500_day2,SP500_day3,SP500_day4,SP500_day5,SP500_day6,SP500_day7,NASDAQ_day1,NASDAQ_day2,NASDAQ_day3,NASDAQ_day4,NASDAQ_day5,NASDAQ_day6,NASDAQ_day7,DowJones_day1,DowJones_day2,DowJones_day3,DowJones_day4,DowJones_day5,DowJones_day6,DowJones_day7,Russell2000_day1,Russell2000_day2,Russell2000_day3,Russell2000_day4,Russell2000_day5,Russell2000_day6,Russell2000_day7,VIX_day1,VIX_day2,VIX_day3,VIX_day4,VIX_day5,VIX_day6,VIX_day7,DXY_day1,DXY_day2,DXY_day3,DXY_day4,DXY_day5,DXY_day6,DXY_day7,EURUSD_day1,EURUSD_day2,EURUSD_day3,EURUSD_day4,EURUSD_day5,EURUSD_day6,EURUSD_day7,USDJPY_day1,USDJPY_day2,USDJPY_day3,USDJPY_day4,USDJPY_day5,USDJPY_day6,USDJPY_day7,US10Y_day1,US10Y_day2,US10Y_day3,US10Y_day4,US10Y_day5,US10Y_day6,US10Y_day7,US2Y_day1,US2Y_day2,US2Y_day3,US2Y_day4,US2Y_day5,US2Y_day6,US2Y_day7,TIP_day1,TIP_day2,TIP_day3,TIP_day4,TIP_day5,TIP_day6,TIP_day7,Gold_day1,Gold_day2,Gold_day3,Gold_day4,Gold_day5,Gold_day6,Gold_day7,Oil_WTI_day1,Oil_WTI_day2,Oil_WTI_day3,Oil_WTI_day4,Oil_WTI_day5,Oil_WTI_day6,Oil_WTI_day7,Silver_day1,Silver_day2,Silver_day3,Silver_day4,Silver_day5,Silver_day6,Silver_day7,Copper_day1,Copper_day2,Copper_day3,Copper_day4,Copper_day5,Copper_day6,Copper_day7,NatGas_day1,NatGas_day2,NatGas_day3,NatGas_day4,NatGas_day5,NatGas_day6,NatGas_day7,HYG_day1,HYG_day2,HYG_day3,HYG_day4,HYG_day5,HYG_day6,HYG_day7,LQD_day1,LQD_day2,LQD_day3,LQD_day4,LQD_day5,LQD_day6,LQD_day7,GLD_day1,GLD_day2,GLD_day3,GLD_day4,GLD_day5,GLD_day6,GLD_day7,SPY_day1,SPY_day2,SPY_day3,SPY_day4,SPY_day5,SPY_day6,SPY_day7
2014-09-17,2014-09-23,0,465.864014,456.859985,424.102997,394.673004,408.084991,399.100006,402.09201,468.174011,456.859985,427.834991,423.29599,412.425995,406.915985,441.557007,452.421997,413.104004,384.532013,389.882996,393.181,397.130005,396.196991,457.334015,424.440002,394.79599,408.903992,398.821014,402.152008,435.790985,21056800,34483200,37919700,36863600,26580100,24127600,45099500,,,,,,,,,-7.192558,-6.984265,3.573492,-2.465854,0.83521,8.364742,3.381247,9.577547,10.210486,8.465994,4.715928,2.452012,11.281004,,,,,,,,2001.569946,2011.359985,2010.400024,2010.400024,2010.400024,1994.290039,1982.77002,4562.189941,4593.430176,4579.790039,4579.790039,4579.790039,4527.689941,4508.689941,17156.849609,17265.990234,17279.740234,17279.740234,17279.740234,17172.679688,17055.869141,1153.890015,1159.27002,1146.920044,1146.920044,1146.920044,1129.359985,1118.719971,12.65,12.03,12.11,12.11,12.11,13.69,14.93,84.699997,84.32,84.800003,84.800003,84.800003,84.669998,84.660004,1.295908,1.285,1.292006,1.292006,1.292006,1.284142,1.285149,107.150002,108.515999,108.800003,108.800003,108.800003,108.940002,108.75,2.6,2.629,2.587,2.587,2.587,2.566,2.535,0.013,0.01,0.007,0.007,0.007,0.003,0.007,83.499573,83.283363,83.529427,83.529427,83.529427,83.46978,83.782898,1234.400024,1225.699951,1215.300049,1215.300049,1215.300049,1216.800049,1221.0,94.419998,93.07,92.410004,92.410004,92.410004,91.519997,91.559998,18.663,18.452,17.781,17.781,17.781,17.698999,17.712999,3.1415,3.0925,3.0885,3.0885,3.0885,3.038,3.0345,4.013,3.91,3.837,3.837,3.837,3.85,3.816,50.018463,50.034607,50.109901,50.109901,50.109901,50.018463,49.765675,78.143517,78.283394,78.58979,78.58979,78.58979,78.663078,78.789597,117.540001,117.779999,117.089996,117.089996,117.089996,116.849998,117.599998,164.56752,165.444687,165.295563,165.295563,165.295563,164.019028,163.080032
2014-09-18,2014-09-24,1,456.859985,424.102997,394.673004,408.084991,399.100006,402.09201,435.751007,456.859985,427.834991,423.29599,412.425995,406.915985,441.557007,436.112,413.104004,384.532013,389.882996,393.181,397.130005,396.196991,421.131989,424.440002,394.79599,408.903992,398.821014,402.152008,435.790985,423.204987,34483200,37919700,36863600,26580100,24127600,45099500,30627700,,,,,,,,-7.192558,-6.984265,3.573492,-2.465854,0.83521,8.364742,-2.888081,9.577547,10.210486,8.465994,4.715928,2.452012,11.281004,3.437746,,,,,,,,2011.359985,2010.400024,2010.400024,2010.400024,1994.290039,1982.77002,1998.300049,4593.430176,4579.790039,4579.790039,4579.790039,4527.689941,4508.689941,4555.220215,17265.990234,17279.740234,17279.740234,17279.740234,17172.679688,17055.869141,17210.060547,1159.27002,1146.920044,1146.920044,1146.920044,1129.359985,1118.719971,1128.310059,12.03,12.11,12.11,12.11,13.69,14.93,13.27,84.32,84.800003,84.800003,84.800003,84.669998,84.660004,85.050003,1.285,1.292006,1.292006,1.292006,1.284142,1.285149,1.285397,108.515999,108.800003,108.800003,108.800003,108.940002,108.75,108.542,2.629,2.587,2.587,2.587,2.566,2.535,2.569,0.01,0.007,0.007,0.007,0.003,0.007,0.007,83.283363,83.529427,83.529427,83.529427,83.46978,83.782898,83.708321,1225.699951,1215.300049,1215.300049,1215.300049,1216.800049,1221.0,1218.599976,93.07,92.410004,92.410004,92.410004,91.519997,91.559998,92.800003,18.452,17.781,17.781,17.781,17.698999,17.712999,17.643,3.0925,3.0885,3.0885,3.0885,3.038,3.0345,3.0595,3.91,3.837,3.837,3.837,3.85,3.816,3.911,50.034607,50.109901,50.109901,50.109901,50.018463,49.765675,49.615089,78.283394,78.58979,78.58979,78.58979,78.663078,78.789597,78.603081,117.779999,117.089996,117.089996,117.089996,116.849998,117.599998,117.050003,165.444687,165.295563,165.295563,165.295563,164.019028,163.080032,164.35672
2014-09-19,2014-09-25,2,424.102997,394.673004,408.084991,399.100006,402.09201,435.751007,423.156006,427.834991,423.29599,412.425995,406.915985,441.557007,436.112,423.519989,384.532013,389.882996,393.181,397.130005,396.196991,421.131989,409.467987,394.79599,408.903992,398.821014,402.152008,435.790985,423.204987,411.574005,37919700,36863600,26580100,24127600,45099500,30627700,26814400,,,,,,,,-6.984265,3.573492,-2.465854,0.83521,8.364742,-2.888081,-2.748309,10.210486,8.465994,4.715928,2.452012,11.281004,3.437746,3.320762,,,,,,,,2010.400024,2010.400024,2010.400024,1994.290039,1982.77002,1998.300049,1965.98999,4579.790039,4579.790039,4579.790039,4527.689941,4508.689941,4555.220215,4466.75,17279.740234,17279.740234,17279.740234,17172.679688,17055.869141,17210.060547,16945.800781,1146.920044,1146.920044,1146.920044,1129.359985,1118.719971,1128.310059,1110.23999,12.11,12.11,12.11,13.69,14.93,13.27,15.64,84.800003,84.800003,84.800003,84.669998,84.660004,85.050003,85.199997,1.292006,1.292006,1.292006,1.284142,1.285149,1.285397,1.277808,108.800003,108.800003,108.800003,108.940002,108.75,108.542,109.316002,2.587,2.587,2.587,2.566,2.535,2.569,2.511,0.007,0.007,0.007,0.003,0.007,0.007,0.005,83.529427,83.529427,83.529427,83.46978,83.782898,83.708321,84.014038,1215.300049,1215.300049,1215.300049,1216.800049,1221.0,1218.599976,1221.199951,92.410004,92.410004,92.410004,91.519997,91.559998,92.800003,92.529999,17.781,17.781,17.781,17.698999,17.712999,17.643,17.379,3.0885,3.0885,3.0885,3.038,3.0345,3.0595,3.06,3.837,3.837,3.837,3.85,3.816,3.911,3.971,50.109901,50.109901,50.109901,50.018463,49.765675,49.615089,49.276211,78.58979,78.58979,78.58979,78.663078,78.789597,78.603081,78.836205,117.089996,117.089996,117.089996,116.849998,117.599998,117.050003,117.389999,165.295563,165.295563,165.295563,164.019028,163.080032,164.35672,161.704758
2014-09-20,2014-09-26,3,394.673004,408.084991,399.100006,402.09201,435.751007,423.156006,411.428986,423.29599,412.425995,406.915985,441.557007,436.112,423.519989,414.937988,389.882996,393.181,397.130005,396.196991,421.131989,409.467987,400.009003,408.903992,398.821014,402.152008,435.790985,423.204987,411.574005,404.424988,36863600,26580100,24127600,45099500,30627700,26814400,21460800,,,,,,,,3.573492,-2.465854,0.83521,8.364742,-2.888081,-2.748309,-1.736994,8.465994,4.715928,2.452012,11.281004,3.437746,3.320762,3.628569,,,,,,,,2010.400024,2010.400024,1994.290039,1982.77002,1998.300049,1965.98999,1982.849976,4579.790039,4579.790039,4527.689941,4508.689941,4555.220215,4466.75,4512.189941,17279.740234,17279.740234,17172.679688,17055.869141,17210.060547,16945.800781,17113.150391,1146.920044,1146.920044,1129.359985,1118.719971,1128.310059,1110.23999,1119.329956,12.11,12.11,13.69,14.93,13.27,15.64,14.85,84.800003,84.800003,84.669998,84.660004,85.050003,85.199997,85.639999,1.292006,1.292006,1.284142,1.285149,1.285397,1.277808,1.275705,108.800003,108.800003,108.940002,108.75,108.542,109.316002,108.610001,2.587,2.587,2.566,2.535,2.569,2.511,2.535,0.007,0.007,0.003,0.007,0.007,0.005,0.005,83.529427,83.529427,83.46978,83.782898,83.708321,84.014038,83.581627,1215.300049,1215.300049,1216.800049,1221.0,1218.599976,1221.199951,1214.099976,92.410004,92.410004,91.519997,91.559998,92.800003,92.529999,93.540001,17.781,17.781,17.698999,17.712999,17.643,17.379,17.476999,3.0885,3.0885,3.038,3.0345,3.0595,3.06,3.029,3.837,3.837,3.85,3.816,3.911,3.971,3.984,50.109901,50.109901,50.018463,49.765675,49.615089,49.276211,49.243931,78.58979,78.58979,78.663078,78.789597,78.603081,78.836205,78.663078,117.089996,117.089996,116.849998,117.599998,117.050003,117.389999,117.059998,165.295563,165.295563,164.019028,163.080032,164.35672,161.704758,162.989532
2014-09-21,2014-09-27,4,408.084991,399.100006,402.09201,435.751007,423.156006,411.428986,403.556,412.425995,406.915985,441.557007,436.112,423.519989,414.937988,406.622986,393.181,397.130005,396.196991,421.131989,409.467987,400.009003,397.372009,398.821014,402.152008,435.790985,423.204987,411.574005,404.424988,399.519989,26580100,24127600,45099500,30627700,26814400,21460800,15029300,,,,,,,,-2.465854,0.83521,8.364742,-2.888081,-2.748309,-1.736994,-1.212833,4.715928,2.452012,11.281004,3.437746,3.320762,3.628569,2.292365,,,,,,,,2010.400024,1994.290039,1982.77002,1998.300049,1965.98999,1982.849976,1982.849976,4579.790039,4527.689941,4508.689941,4555.220215,4466.75,4512.189941,4512.189941,17279.740234,17172.679688,17055.869141,17210.060547,16945.800781,17113.150391,17113.150391,1146.920044,1129.359985,1118.719971,1128.310059,1110.23999,1119.329956,1119.329956,12.11,13.69,14.93,13.27,15.64,14.85,14.85,84.800003,84.669998,84.660004,85.050003,85.199997,85.639999,85.639999,1.292006,1.284142,1.285149,1.285397,1.277808,1.275705,1.275705,108.800003,108.940002,108.75,108.542,109.316002,108.610001,108.610001,2.587,2.566,2.535,2.569,2.511,2.535,2.535,0.007,0.003,0.007,0.007,0.005,0.005,0.005,83.529427,83.46978,83.782898,83.708321,84.014038,83.581627,83.581627,1215.300049,1216.800049,1221.0,1218.599976,1221.199951,1214.099976,1214.099976,92.410004,91.519997,91.559998,92.800003,92.529999,93.540001,93.540001,17.781,17.698999,17.712999,17.643,17.379,17.476999,17.476999,3.0885,3.038,3.0345,3.0595,3.06,3.029,3.029,3.837,3.85,3.816,3.911,3.971,3.984,3.984,50.109901,50.018463,49.765675,49.615089,49.276211,49.243931,49.243931,78.58979,78.663078,78.789597,78.603081,78.836205,78.663078,78.663078,117.089996,116.849998,117.599998,117.050003,117.389999,117.059998,117.059998,165.295563,164.019028,163.080032,164.35672,161.704758,162.989532,162.989532
2014-09-22,2014-09-28,5,399.100006,402.09201,435.751007,423.156006,411.428986,403.556,399.471008,406.915985,441.557007,436.112,423.519989,414.937988,406.622986,401.016998,397.130005,396.196991,421.131989,409.467987,400.009003,397.372009,374.332001,402.152008,435.790985,423.204987,411.574005,404.424988,399.519989,377.181,24127600,45099500,30627700,26814400,21460800,15029300,23613300,,,,,,,,0.83521,8.364742,-2.888081,-2.748309,-1.736994,-1.212833,-5.591457,2.452012,11.281004,3.437746,3.320762,3.628569,2.292365,6.680084,,,,,,,,1994.290039,1982.77002,1998.300049,1965.98999,1982.849976,1982.849976,1982.849976,4527.689941,4508.689941,4555.220215,4466.75,4512.189941,4512.189941,4512.189941,17172.679688,17055.869141,17210.060547,16945.800781,17113.150391,17113.150391,17113.150391,1129.359985,1118.719971,1128.310059,1110.23999,1119.329956,1119.329956,1119.329956,13.69,14.93,13.27,15.64,14.85,14.85,14.85,84.669998,84.660004,85.050003,85.199997,85.639999,85.639999,85.639999,1.284142,1.285149,1.285397,1.277808,1.275705,1.275705,1.275705,108.940002,108.75,108.542,109.316002,108.610001,108.610001,108.610001,2.566,2.535,2.569,2.511,2.535,2.535,2.535,0.003,0.007,0.007,0.005,0.005,0.005,0.005,83.46978,83.782898,83.708321,84.014038,83.581627,83.581627,83.581627,1216.800049,1221.0,1218.599976,1221.199951,1214.099976,1214.099976,1214.099976,91.519997,91.559998,92.800003,92.529999,93.540001,93.540001,93.540001,17.698999,17.712999,17.643,17.379,17.476999,17.476999,17.476999,3.038,3.0345,3.0595,3.06,3.029,3.029,3.029,3.85,3.816,3.911,3.971,3.984,3.984,3.984,50.018463,49.765675,49.615089,49.276211,49.243931,49.243931,49.243931,78.663078,78.789597,78.603081,78.836205,78.663078,78.663078,78.663078,116.849998,117.599998,117.050003,117.389999,117.059998,117.059998,117.059998,164.019028,163.080032,164.35672,161.704758,162.989532,162.989532,162.989532
2014-09-23,2014-09-29,6,402.09201,435.751007,423.156006,411.428986,403.556,399.471008,376.928009,441.557007,436.112,423.519989,414.937988,406.622986,401.016998,385.210999,396.196991,421.131989,409.467987,400.009003,397.372009,374.332001,372.23999,435.790985,423.204987,411.574005,404.424988,399.519989,377.181,375.46701,45099500,30627700,26814400,21460800,15029300,23613300,32497700,,,,,,,,8.364742,-2.888081,-2.748309,-1.736994,-1.212833,-5.591457,-0.454421,11.281004,3.437746,3.320762,3.628569,2.292365,6.680084,3.441243,,,,,,,,1982.77002,1998.300049,1965.98999,1982.849976,1982.849976,1982.849976,1977.800049,4508.689941,4555.220215,4466.75,4512.189941,4512.189941,4512.189941,4505.850098,17055.869141,17210.060547,16945.800781,17113.150391,17113.150391,17113.150391,17071.220703,1118.719971,1128.310059,1110.23999,1119.329956,1119.329956,1119.329956,1117.910034,14.93,13.27,15.64,14.85,14.85,14.85,15.98,84.660004,85.050003,85.199997,85.639999,85.639999,85.639999,85.589996,1.285149,1.285397,1.277808,1.275705,1.275705,1.275705,1.267315,108.75,108.542,109.316002,108.610001,108.610001,108.610001,109.411003,2.535,2.569,2.511,2.535,2.535,2.535,2.491,0.007,0.007,0.005,0.005,0.005,0.005,0.005,83.782898,83.708321,84.014038,83.581627,83.581627,83.581627,83.641243,1221.0,1218.599976,1221.199951,1214.099976,1214.099976,1214.099976,1217.5,91.559998,92.800003,92.529999,93.540001,93.540001,93.540001,94.57,17.712999,17.643,17.379,17.476999,17.476999,17.476999,17.516001,3.0345,3.0595,3.06,3.029,3.029,3.029,3.053,3.816,3.911,3.971,3.984,3.984,3.984,4.154,49.765675,49.615089,49.276211,49.243931,49.243931,49.243931,49.141724,78.789597,78.603081,78.836205,78.663078,78.663078,78.663078,78.629753,117.599998,117.050003,117.389999,117.059998,117.059998,117.059998,117.029999,163.080032,164.35672,161.704758,162.989532,162.989532,162.989532,162.692993
2014-09-24,2014-09-30,7,435.751007,423.156006,411.428986,403.556,399.471008,376.928009,376.088013,436.112,423.519989,414.937988,406.622986,401.016998,385.210999,390.97699,421.131989,409.467987,400.009003,397.372009,374.332001,372.23999,373.442993,423.204987,411.574005,404.424988,399.519989,377.181,375.46701,386.944,30627700,26814400,21460800,15029300,23613300,32497700,34707300,,,,,,,,-2.888081,-2.748309,-1.736994,-1.212833,-5.591457,-0.454421,3.056724,3.437746,3.320762,3.628569,2.292365,6.680084,3.441243,4.662206,,,,,,,,1998.300049,1965.98999,1982.849976,1982.849976,1982.849976,1977.800049,1972.290039,4555.220215,4466.75,4512.189941,4512.189941,4512.189941,4505.850098,4493.390137,17210.060547,16945.800781,17113.150391,17113.150391,17113.150391,17071.220703,17042.900391,1128.310059,1110.23999,1119.329956,1119.329956,1119.329956,1117.910034,1101.680054,13.27,15.64,14.85,14.85,14.85,15.98,16.309999,85.050003,85.199997,85.639999,85.639999,85.639999,85.589996,85.940002,1.285397,1.277808,1.275705,1.275705,1.275705,1.267315,1.269084,108.542,109.316002,108.610001,108.610001,108.610001,109.411003,109.389999,2.569,2.511,2.535,2.535,2.535,2.491,2.508,0.007,0.005,0.005,0.005,0.005,0.005,0.013,83.708321,84.014038,83.581627,83.581627,83.581627,83.641243,83.551826,1218.599976,1221.199951,1214.099976,1214.099976,1214.099976,1217.5,1210.5,92.800003,92.529999,93.540001,93.540001,93.540001,94.57,91.160004,17.643,17.379,17.476999,17.476999,17.476999,17.516001,17.006001,3.0595,3.06,3.029,3.029,3.029,3.053,3.0055,3.911,3.971,3.984,3.984,3.984,4.154,4.121,49.615089,49.276211,49.243931,49.243931,49.243931,49.141724,49.459084,78.603081,78.836205,78.663078,78.663078,78.663078,78.629753,78.742996,117.050003,117.389999,117.059998,117.059998,117.059998,117.029999,116.209999,164.35672,161.704758,162.989532,162.989532,162.989532,162.692993,162.264786
2014-09-25,2014-10-01,8,423.156006,411.428986,403.556,399.471008,376.928009,376.088013,387.427002,423.519989,414.937988,406.622986,401.016998,385.210999,390.97699,391.378998,409.467987,400.009003,397.372009,374.332001,372.23999,373.442993,380.779999,411.574005,404.424988,399.519989,377.181,375.46701,386.944,383.61499,26814400,21460800,15029300,23613300,32497700,34707300,26229400,,,,,,,,-2.748309,-1.736994,-1.212833,-5.591457,-0.454421,3.056724,-0.860334,3.320762,3.628569,2.292365,6.680084,3.441243,4.662206,2.735741,,,,,,,,1965.98999,1982.849976,1982.849976,1982.849976,1977.800049,1972.290039,1946.160034,4466.75,4512.189941,4512.189941,4512.189941,4505.850098,4493.390137,4422.089844,16945.800781,17113.150391,17113.150391,17113.150391,17071.220703,17042.900391,16804.710938,1110.23999,1119.329956,1119.329956,1119.329956,1117.910034,1101.680054,1085.410034,15.64,14.85,14.85,14.85,15.98,16.309999,16.709999,85.199997,85.639999,85.639999,85.639999,85.589996,85.940002,85.970001,1.277808,1.275705,1.275705,1.275705,1.267315,1.269084,1.262834,109.316002,108.610001,108.610001,108.610001,109.411003,109.389999,109.660004,2.511,2.535,2.535,2.535,2.491,2.508,2.403,0.005,0.005,0.005,0.005,0.005,0.013,0.013,84.014038,83.581627,83.581627,83.581627,83.641243,83.551826,84.148224,1221.199951,1214.099976,1214.099976,1214.099976,1217.5,1210.5,1214.599976,92.529999,93.540001,93.540001,93.540001,94.57,91.160004,90.730003,17.379,17.476999,17.476999,17.476999,17.516001,17.006001,17.209999,3.06,3.029,3.029,3.029,3.053,3.0055,3.0335,3.971,3.984,3.984,3.984,4.154,4.121,4.023,49.276211,49.243931,49.243931,49.243931,49.141724,49.459084,49.513649,78.836205,78.663078,78.663078,78.663078,78.629753,78.742996,79.220596,117.389999,117.059998,117.059998,117.059998,117.029999,116.209999,116.769997,161.704758,162.989532,162.989532,162.989532,162.692993,162.264786,160.065765
2014-09-26,2014-10-02,9,411.428986,403.556,399.471008,376.928009,376.088013,387.427002,383.988007,414.937988,406.622986,401.016998,385.210999,390.97699,391.378998,385.497009,400.009003,397.372009,374.332001,372.23999,373.442993,380.779999,372.946014,404.424988,399.519989,377.181,375.46701,386.944,383.61499,375.071991,21460800,15029300,23613300,32497700,34707300,26229400,21777700,,,,,,,,-1.736994,-1.212833,-5.591457,-0.454421,3.056724,-0.860334,-2.226972,3.628569,2.292365,6.680084,3.441243,4.662206,2.735741,3.26859,,,,,,,,1982.849976,1982.849976,1982.849976,1977.800049,1972.290039,1946.160034,1946.170044,4512.189941,4512.189941,4512.189941,4505.850098,4493.390137,4422.089844,4430.200195,17113.150391,17113.150391,17113.150391,17071.220703,17042.900391,16804.710938,16801.050781,1119.329956,1119.329956,1119.329956,1117.910034,1101.680054,1085.410034,1096.380005,14.85,14.85,14.85,15.98,16.309999,16.709999,16.16,85.639999,85.639999,85.639999,85.589996,85.940002,85.970001,85.599998,1.275705,1.275705,1.275705,1.267315,1.269084,1.262834,1.262419,108.610001,108.610001,108.610001,109.411003,109.389999,109.660004,109.019997,2.535,2.535,2.535,2.491,2.508,2.403,2.438,0.005,0.005,0.005,0.005,0.013,0.013,0.01,83.581627,83.581627,83.581627,83.641243,83.551826,84.148224,83.939453,1214.099976,1214.099976,1214.099976,1217.5,1210.5,1214.599976,1214.199951,93.540001,93.540001,93.540001,94.57,91.160004,90.730003,91.010002,17.476999,17.476999,17.476999,17.516001,17.006001,17.209999,17.000999,3.029,3.029,3.029,3.053,3.0055,3.0335,2.9965,3.984,3.984,3.984,4.154,4.121,4.023,3.932,49.243931,49.243931,49.243931,49.141724,49.459084,49.513649,49.610882,78.663078,78.663078,78.663078,78.629753,78.742996,79.220596,79.21389,117.059998,117.059998,117.059998,117.029999,116.209999,116.769997,116.739998,162.989532,162.989532,162.989532,162.692993,162.264786,160.065765,160.09053
