window_start,window_end,window_index,Open_day1,Open_day2,Open_day3,Open_day4,Open_day5,Open_day6,Open_day7,High_day1,High_day2,High_day3,High_day4,High_day5,High_day6,High_day7,Low_day1,Low_day2,Low_day3,Low_day4,Low_day5,Low_day6,Low_day7,Close_day1,Close_day2,Close_day3,Close_day4,Close_day5,Close_day6,Close_day7,Volume_day1,Volume_day2,Volume_day3,Volume_day4,Volume_day5,Volume_day6,Volume_day7,Number_of_Trades_day1,Number_of_Trades_day2,Number_of_Trades_day3,Number_of_Trades_day4,Number_of_Trades_day5,Number_of_Trades_day6,Number_of_Trades_day7,Return_%_day1,Return_%_day2,Return_%_day3,Return_%_day4,Return_%_day5,Return_%_day6,Return_%_day7,Volatility_day1,Volatility_day2,Volatility_day3,Volatility_day4,Volatility_day5,Volatility_day6,Volatility_day7,Taker_Buy_Base_Volume_day1,Taker_Buy_Base_Volume_day2,Taker_Buy_Base_Volume_day3,Taker_Buy_Base_Volume_day4,Taker_Buy_Base_Volume_day5,Taker_Buy_Base_Volume_day6,Taker_Buy_Base_Volume_day7
2014-09-17,2014-09-23,0,465.864014,456.859985,424.102997,394.673004,408.084991,399.100006,402.09201,468.174011,456.859985,427.834991,423.29599,412.425995,406.915985,441.557007,452.421997,413.104004,384.532013,389.882996,393.181,397.130005,396.196991,457.334015,424.440002,394.79599,408.903992,398.821014,402.152008,435.790985,21056800,34483200,37919700,36863600,26580100,24127600,45099500,,,,,,,,,-7.192558,-6.984265,3.573492,-2.465854,0.83521,8.364742,3.381247,9.577547,10.210486,8.465994,4.715928,2.452012,11.281004,,,,,,,
2014-09-18,2014-09-24,1,456.859985,424.102997,394.673004,408.084991,399.100006,402.09201,435.751007,456.859985,427.834991,423.29599,412.425995,406.915985,441.557007,436.112,413.104004,384.532013,389.882996,393.181,397.130005,396.196991,421.131989,424.440002,394.79599,408.903992,398.821014,402.152008,435.790985,423.204987,34483200,37919700,36863600,26580100,24127600,45099500,30627700,,,,,,,,-7.192558,-6.984265,3.573492,-2.465854,0.83521,8.364742,-2.888081,9.577547,10.210486,8.465994,4.715928,2.452012,11.281004,3.437746,,,,,,,
2014-09-19,2014-09-25,2,424.102997,394.673004,408.084991,399.100006,402.09201,435.751007,423.156006,427.834991,423.29599,412.425995,406.915985,441.557007,436.112,423.519989,384.532013,389.882996,393.181,397.130005,396.196991,421.131989,409.467987,394.79599,408.903992,398.821014,402.152008,435.790985,423.204987,411.574005,37919700,36863600,26580100,24127600,45099500,30627700,26814400,,,,,,,,-6.984265,3.573492,-2.465854,0.83521,8.364742,-2.888081,-2.748309,10.210486,8.465994,4.715928,2.452012,11.281004,3.437746,3.320762,,,,,,,
2014-09-20,2014-09-26,3,394.673004,408.084991,399.100006,402.09201,435.751007,423.156006,411.428986,423.29599,412.425995,406.915985,441.557007,436.112,423.519989,414.937988,389.882996,393.181,397.130005,396.196991,421.131989,409.467987,400.009003,408.903992,398.821014,402.152008,435.790985,423.204987,411.574005,404.424988,36863600,26580100,24127600,45099500,30627700,26814400,21460800,,,,,,,,3.573492,-2.465854,0.83521,8.364742,-2.888081,-2.748309,-1.736994,8.465994,4.715928,2.452012,11.281004,3.437746,3.320762,3.628569,,,,,,,
2014-09-21,2014-09-27,4,408.084991,399.100006,402.09201,435.751007,423.156006,411.428986,403.556,412.425995,406.915985,441.557007,436.112,423.519989,414.937988,406.622986,393.181,397.130005,396.196991,421.131989,409.467987,400.009003,397.372009,398.821014,402.152008,435.790985,423.204987,411.574005,404.424988,399.519989,26580100,24127600,45099500,30627700,26814400,21460800,15029300,,,,,,,,-2.465854,0.83521,8.364742,-2.888081,-2.748309,-1.736994,-1.212833,4.715928,2.452012,11.281004,3.437746,3.320762,3.628569,2.292365,,,,,,,
2014-09-22,2014-09-28,5,399.100006,402.09201,435.751007,423.156006,411.428986,403.556,399.471008,406.915985,441.557007,436.112,423.519989,414.937988,406.622986,401.016998,397.130005,396.196991,421.131989,409.467987,400.009003,397.372009,374.332001,402.152008,435.790985,423.204987,411.574005,404.424988,399.519989,377.181,24127600,45099500,30627700,26814400,21460800,15029300,23613300,,,,,,,,0.83521,8.364742,-2.888081,-2.748309,-1.736994,-1.212833,-5.591457,2.452012,11.281004,3.437746,3.320762,3.628569,2.292365,6.680084,,,,,,,
2014-09-23,2014-09-29,6,402.09201,435.751007,423.156006,411.428986,403.556,399.471008,376.928009,441.557007,436.112,423.519989,414.937988,406.622986,401.016998,385.210999,396.196991,421.131989,409.467987,400.009003,397.372009,374.332001,372.23999,435.790985,423.204987,411.574005,404.424988,399.519989,377.181,375.46701,45099500,30627700,26814400,21460800,15029300,23613300,32497700,,,,,,,,8.364742,-2.888081,-2.748309,-1.736994,-1.212833,-5.591457,-0.454421,11.281004,3.437746,3.320762,3.628569,2.292365,6.680084,3.441243,,,,,,,
2014-09-24,2014-09-30,7,435.751007,423.156006,411.428986,403.556,399.471008,376.928009,376.088013,436.112,423.519989,414.937988,406.622986,401.016998,385.210999,390.97699,421.131989,409.467987,400.009003,397.372009,374.332001,372.23999,373.442993,423.204987,411.574005,404.424988,399.519989,377.181,375.46701,386.944,30627700,26814400,21460800,15029300,23613300,32497700,34707300,,,,,,,,-2.888081,-2.748309,-1.736994,-1.212833,-5.591457,-0.454421,3.056724,3.437746,3.320762,3.628569,2.292365,6.680084,3.441243,4.662206,,,,,,,
2014-09-25,2014-10-01,8,423.156006,411.428986,403.556,399.471008,376.928009,376.088013,387.427002,423.519989,414.937988,406.622986,401.016998,385.210999,390.97699,391.378998,409.467987,400.009003,397.372009,374.332001,372.23999,373.442993,380.779999,411.574005,404.424988,399.519989,377.181,375.46701,386.944,383.61499,26814400,21460800,15029300,23613300,32497700,34707300,26229400,,,,,,,,-2.748309,-1.736994,-1.212833,-5.591457,-0.454421,3.056724,-0.860334,3.320762,3.628569,2.292365,6.680084,3.441243,4.662206,2.735741,,,,,,,
2014-09-26,2014-10-02,9,411.428986,403.556,399.471008,376.928009,376.088013,387.427002,383.988007,414.937988,406.622986,401.016998,385.210999,390.97699,391.378998,385.497009,400.009003,397.372009,374.332001,372.23999,373.442993,380.779999,372.946014,404.424988,399.519989,377.181,375.46701,386.944,383.61499,375.071991,21460800,15029300,23613300,32497700,34707300,26229400,21777700,,,,,,,,-1.736994,-1.212833,-5.591457,-0.454421,3.056724,-0.860334,-2.226972,3.628569,2.292365,6.680084,3.441243,4.662206,2.735741,3.26859,,,,,,,
